CustomerID,CustomerName,Gender,Age,City,Education_Level,Marital_Status,Dependent_Count,Income_Category,Card_Category,Months_on_Book,Credit_Limit_INR,Total_Revolving_Bal,Avg_Open_To_Buy,Avg_Utilization_Ratio,Months_Inactive_12mon,Contacts_Count_12mon,Total_Trans_Amt_INR,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Total_Amt_Chng_Q4_Q1,Attrition_Flag
SBICC100028,Swati Joshi,F,47,Mumbai,Graduate,Single,3,₹3-6 Lakh,Gold,56,188850,24393,194600,0.1292,2,2,22675,48,1.0108,0.0842,1
SBICC100029,Manoj Patel,M,31,Bangalore,Graduate,Single,3,₹6-10 Lakh,Silver,52,93292,9038,83200,0.0443,2,1,64873,53,0.4682,0.7088,0
SBICC100030,Manoj Nair,M,51,Chennai,Graduate,Married,0,₹6-10 Lakh,Silver,56,172408,5150,149200,0.1676,5,1,46775,55,0.4412,0.3181,1
SBICC100031,Arun Kumar,M,20,Delhi,Post-Graduate,Single,0,> ₹25 Lakh,Silver,25,48273,532,54300,0.0,5,6,9448,48,0.4478,0.3756,1
SBICC100032,Arun Sharma,M,52,Delhi,Post-Graduate,Married,2,₹10-15 Lakh,Silver,52,51917,34113,22400,0.6277,3,0,48064,73,0.9531,0.6636,0
SBICC100033,Rajesh Singh,M,24,Bangalore,Post-Graduate,Single,5,₹10-15 Lakh,Gold,37,156778,34327,135500,0.2414,1,4,7122,64,1.0174,1.4215,0
SBICC100034,Manoj Mehta,M,42,Bangalore,Doctorate,Married,2,₹3-6 Lakh,Platinum,47,899772,105269,678700,0.138,6,3,190575,51,0.3056,0.2228,1
SBICC100035,Anjali Sharma,F,45,Bangalore,Graduate,Married,3,₹3-6 Lakh,Silver,34,121779,37790,70500,0.327,1,0,11041,68,0.5977,0.2578,0
SBICC100036,Sunita Reddy,F,51,Mumbai,Graduate,Divorced,3,₹15-25 Lakh,Signature,10,1300456,116443,1187100,0.1226,5,1,16209,73,0.8197,1.0029,0
SBICC100037,Vijay Mehta,M,22,Mumbai,Graduate,Divorced,1,₹3-6 Lakh,Platinum,42,760529,54153,807100,0.0,1,5,64087,64,0.0,0.6421,0
SBICC100038,Sanjay Reddy,M,44,Bangalore,Post-Graduate,Single,4,₹3-6 Lakh,Silver,40,76362,43462,34100,0.5278,3,0,7687,57,1.0212,0.705,0
SBICC100039,Sanjay Nair,M,38,Delhi,High School,Single,3,₹10-15 Lakh,Silver,36,116718,33102,71200,0.3084,1,4,25894,71,1.376,0.4571,0
SBICC100040,Rahul Mehta,M,23,Hyderabad,Post-Graduate,Married,3,> ₹25 Lakh,Gold,36,404281,108846,253900,0.2004,5,3,97482,56,0.8322,0.478,1
SBICC100041,Arun Patel,M,43,Delhi,High School,Single,3,₹3-6 Lakh,Gold,56,528900,90351,385500,0.1835,2,1,101124,65,0.4352,0.4234,0
SBICC100042,Meera Joshi,F,31,Mumbai,Post-Graduate,Married,1,< ₹3 Lakh,Signature,42,3344255,371765,2619000,0.123,4,3,72935,70,0.5718,0.6654,0
SBICC100043,Rohit Sharma,M,42,Bangalore,Graduate,Single,3,> ₹25 Lakh,Silver,29,153037,25924,113400,0.1781,1,1,73882,74,1.3101,0.7842,0
SBICC100044,Rajesh Mehta,M,58,Pune,Post-Graduate,Single,1,₹15-25 Lakh,Gold,54,446490,24408,370800,0.0479,1,3,16322,53,0.4892,0.3438,1
SBICC100045,Pooja Reddy,F,56,Mumbai,Graduate,Married,3,₹15-25 Lakh,Silver,24,204439,38618,141700,0.2534,1,3,10518,54,1.0982,0.0688,1
SBICC100046,Rahul Patel,M,23,Chennai,Post-Graduate,Single,3,₹10-15 Lakh,Silver,56,172771,99402,108400,0.6101,0,3,68052,43,0.3262,0.8844,0
SBICC100047,Divya Patel,F,45,Kolkata,Post-Graduate,Single,2,> ₹25 Lakh,Gold,23,400137,17655,407300,0.13,3,2,30872,69,0.5885,0.6203,0
SBICC100048,Manoj Iyer,M,39,Bangalore,Post-Graduate,Married,1,₹15-25 Lakh,Gold,37,491261,52647,401800,0.0,5,1,15227,76,0.0481,1.1111,0
SBICC100049,Pooja Singh,F,30,Bangalore,Post-Graduate,Married,2,< ₹3 Lakh,Silver,33,151275,62524,99000,0.4615,3,0,7740,56,0.6278,1.3051,0
SBICC100050,Rahul Joshi,M,29,Bangalore,Graduate,Single,2,₹15-25 Lakh,Silver,27,195549,26392,162900,0.0,1,0,25927,64,1.0452,0.8552,0
SBICC100051,Rohit Mehta,M,54,Bangalore,Post-Graduate,Single,0,< ₹3 Lakh,Platinum,22,1082088,569215,558400,0.3376,1,2,70878,59,1.3111,1.5743,1
SBICC100052,Sunita Gupta,F,44,Kolkata,Post-Graduate,Married,1,₹6-10 Lakh,Platinum,38,1083914,629689,501300,0.5601,1,1,167693,52,0.9687,1.3682,0
SBICC100053,Arun Patel,M,26,Mumbai,Doctorate,Married,3,> ₹25 Lakh,Gold,24,211014,50912,153000,0.1256,2,3,10515,52,0.084,0.2683,1
SBICC100054,Rohit Mehta,M,36,Delhi,Post-Graduate,Divorced,3,₹10-15 Lakh,Gold,16,180642,14505,140900,0.2443,5,3,149082,63,0.8281,0.1442,1
SBICC100055,Arun Joshi,M,45,Mumbai,Post-Graduate,Married,1,₹6-10 Lakh,Gold,54,209375,90416,127800,0.4799,5,6,64777,54,1.0003,0.5039,1
SBICC100056,Sanjay Mehta,M,29,Mumbai,Graduate,Married,1,₹3-6 Lakh,Silver,12,154259,88695,52000,0.544,3,2,89115,75,0.3402,0.9272,0
SBICC100057,Divya Reddy,F,37,Kolkata,Graduate,Single,2,₹3-6 Lakh,Platinum,56,886487,88355,681200,0.0,1,1,69286,71,0.8791,1.7338,0
SBICC100058,Rajesh Gupta,M,28,Bangalore,Graduate,Single,1,₹15-25 Lakh,Platinum,32,623435,168941,356900,0.3768,3,3,67041,73,1.1032,1.1275,0
SBICC100059,Anjali Gupta,F,37,Chennai,Post-Graduate,Married,0,₹3-6 Lakh,Silver,22,130160,45831,95800,0.4446,2,2,23503,74,0.4587,0.9618,0
SBICC100060,Divya Joshi,F,42,Hyderabad,Post-Graduate,Married,2,₹6-10 Lakh,Gold,56,251161,134185,69200,0.6963,1,1,169230,71,0.5743,0.6428,0
SBICC100061,Swati Reddy,F,47,Bangalore,Graduate,Married,3,₹6-10 Lakh,Gold,37,468287,87047,412300,0.3363,3,3,16972,59,0.885,0.4543,1
SBICC100062,Rahul Iyer,M,29,Bangalore,Post-Graduate,Married,4,₹15-25 Lakh,Gold,30,438529,132914,306500,0.3306,4,1,7641,59,0.934,0.8824,0
SBICC100063,Suresh Iyer,M,39,Chennai,Post-Graduate,Single,2,₹10-15 Lakh,Silver,12,73946,6360,59300,0.167,3,0,9322,58,0.1394,1.1052,0
SBICC100064,Meera Mehta,F,39,Mumbai,Graduate,Single,3,< ₹3 Lakh,Silver,43,92078,25070,61700,0.2387,3,2,44370,53,0.8202,0.358,1
SBICC100065,Vijay Singh,M,28,Bangalore,Post-Graduate,Married,1,₹10-15 Lakh,Silver,15,133427,61286,87500,0.4511,2,2,17646,68,0.9024,0.7516,0
SBICC100066,Swati Sharma,F,44,Bangalore,Post-Graduate,Married,1,₹10-15 Lakh,Signature,31,2381706,826575,1425400,0.3236,3,2,42743,55,0.616,0.7598,0
SBICC100067,Divya Nair,F,43,Pune,Post-Graduate,Married,0,₹10-15 Lakh,Platinum,30,1045233,20608,1105400,0.0,3,3,57924,67,0.6546,0.7625,0
SBICC100068,Priya Reddy,F,28,Chennai,High School,Married,3,₹3-6 Lakh,Silver,42,98394,5987,84800,0.2991,2,0,61563,69,0.3458,0.5363,0
SBICC100069,Sanjay Gupta,M,27,Chennai,Graduate,Married,3,₹3-6 Lakh,Platinum,56,1164254,201052,1001900,0.1449,3,0,22756,76,0.7666,0.5597,0
SBICC100070,Priya Sharma,F,36,Bangalore,High School,Married,1,₹6-10 Lakh,Silver,38,67913,6106,62800,0.1085,3,1,16620,61,0.3909,0.5708,0
SBICC100071,Sanjay Patel,M,43,Bangalore,Graduate,Single,1,> ₹25 Lakh,Silver,56,81535,19838,53100,0.3725,3,2,121671,87,0.4332,0.7056,0
SBICC100072,Rahul Reddy,M,49,Bangalore,Post-Graduate,Single,2,₹6-10 Lakh,Gold,56,438613,233980,234400,0.4918,3,3,89322,67,0.7083,0.3919,0
SBICC100073,Arun Singh,M,45,Bangalore,Doctorate,Married,3,> ₹25 Lakh,Silver,32,151740,36749,125200,0.2312,1,3,31853,55,0.6583,1.1327,1
SBICC100074,Meera Singh,F,41,Chennai,Post-Graduate,Single,1,₹3-6 Lakh,Silver,56,111338,73133,35700,0.7186,3,2,25325,47,0.738,0.2253,1
SBICC100075,Suresh Sharma,M,19,Pune,High School,Married,2,₹6-10 Lakh,Silver,13,158877,9834,135100,0.0,5,6,106566,65,0.5069,0.8178,1
SBICC100076,Vijay Mehta,M,27,Delhi,High School,Married,0,₹3-6 Lakh,Platinum,41,1074535,98570,1075200,0.2256,6,3,47856,67,0.6647,0.6323,1
SBICC100077,Rahul Iyer,M,37,Mumbai,Graduate,Married,2,₹3-6 Lakh,Platinum,8,1072396,364393,577900,0.4127,2,5,39713,69,0.925,0.8585,1
SBICC100078,Vijay Sharma,M,27,Delhi,Graduate,Married,3,₹6-10 Lakh,Platinum,40,1080009,254554,661800,0.2544,3,2,6553,61,0.6547,1.2107,1
SBICC100079,Sanjay Gupta,M,39,Hyderabad,Graduate,Single,2,₹6-10 Lakh,Platinum,13,763945,230149,630300,0.3443,2,4,18141,77,0.7245,0.3493,1
SBICC100080,Suresh Nair,M,30,Ahmedabad,High School,Single,4,₹10-15 Lakh,Signature,19,1597740,743571,1169700,0.3884,3,4,37525,75,0.553,0.2535,1
SBICC100081,Deepak Mehta,M,39,Bangalore,Post-Graduate,Single,2,₹6-10 Lakh,Platinum,39,767790,280390,499500,0.2755,3,2,44005,63,0.5476,0.6511,0
SBICC100082,Rohit Kumar,M,33,Delhi,Graduate,Married,3,₹6-10 Lakh,Platinum,53,965091,133274,769900,0.1742,4,2,54970,76,0.5368,1.3736,0
SBICC100083,Priya Nair,F,19,Chennai,Graduate,Divorced,2,< ₹3 Lakh,Silver,56,173905,17191,139500,0.1127,2,3,53032,44,0.3043,0.5193,0
SBICC100084,Rekha Iyer,F,47,Kolkata,High School,Married,3,₹3-6 Lakh,Silver,36,130697,12430,141900,0.1072,3,4,54451,61,0.7524,0.1524,1
SBICC100085,Deepak Kumar,M,40,Bangalore,Graduate,Single,2,₹3-6 Lakh,Signature,32,2724760,947692,1587300,0.4029,1,1,18001,77,0.8381,0.4409,0
SBICC100086,Rajesh Mehta,M,34,Hyderabad,High School,Married,0,₹6-10 Lakh,Silver,24,171793,109643,92100,0.6012,1,0,79996,78,0.8526,0.6183,0
SBICC100087,Kavya Reddy,F,29,Mumbai,Post-Graduate,Married,1,₹6-10 Lakh,Silver,18,83335,15949,63900,0.1065,1,2,40329,64,0.3093,0.7631,1
SBICC100088,Kavya Gupta,F,36,Kolkata,Post-Graduate,Single,2,> ₹25 Lakh,Platinum,56,679434,1859,625900,0.0032,5,0,231928,66,0.9126,0.5595,0
SBICC100089,Kavya Iyer,F,40,Mumbai,Graduate,Married,2,₹15-25 Lakh,Silver,44,183820,81627,101300,0.3825,5,1,42494,82,0.3533,0.6325,0
SBICC100090,Sunita Joshi,F,43,Delhi,Post-Graduate,Single,2,< ₹3 Lakh,Gold,49,436839,69026,316800,0.2192,2,1,137363,54,0.2761,0.6787,0
SBICC100091,Meera Gupta,F,50,Mumbai,Graduate,Single,1,₹15-25 Lakh,Silver,35,115436,19225,79600,0.0899,4,3,5329,65,0.2821,0.7854,0
SBICC100092,Rahul Nair,M,29,Pune,Post-Graduate,Single,1,₹10-15 Lakh,Silver,49,91344,32899,66600,0.1563,2,1,34834,62,0.5109,2.0301,0
SBICC100093,Meera Mehta,F,36,Kolkata,Post-Graduate,Married,2,₹15-25 Lakh,Silver,17,76945,33501,44900,0.4062,2,0,74288,50,0.8313,1.0967,0
SBICC100094,Vijay Sharma,M,35,Bangalore,Post-Graduate,Single,2,₹3-6 Lakh,Silver,27,145847,68062,82200,0.6597,0,3,115178,68,0.4189,1.1179,0
SBICC100095,Amit Joshi,M,40,Kolkata,Post-Graduate,Single,1,< ₹3 Lakh,Silver,56,169304,41358,106700,0.3838,0,2,90714,61,1.2993,1.3179,0
SBICC100096,Swati Mehta,F,43,Delhi,Graduate,Married,4,₹15-25 Lakh,Silver,29,113622,14753,82600,0.1721,2,2,40194,68,0.6326,0.8412,0
SBICC100097,Divya Reddy,F,44,Mumbai,Graduate,Divorced,2,₹10-15 Lakh,Silver,40,129677,34893,91700,0.4849,2,3,19266,64,0.1879,0.2856,1
SBICC100098,Sanjay Sharma,M,38,Kolkata,Graduate,Married,3,₹3-6 Lakh,Silver,20,88623,30410,51400,0.3812,0,6,17663,68,0.3516,1.184,0
SBICC100099,Pooja Joshi,F,47,Mumbai,Post-Graduate,Married,3,₹10-15 Lakh,Gold,56,330279,118672,223900,0.3084,1,1,51432,63,0.0069,0.7261,0
SBICC100100,Amit Joshi,M,42,Bangalore,Post-Graduate,Married,5,₹10-15 Lakh,Silver,6,69075,18380,47500,0.3674,1,6,133403,61,0.9059,0.8491,0
SBICC100101,Manoj Kumar,M,43,Mumbai,Graduate,Married,3,₹10-15 Lakh,Silver,47,123859,4217,106900,0.0642,5,4,103032,82,1.3195,0.1599,1
SBICC100102,Sunita Reddy,F,40,Mumbai,Graduate,Married,0,₹10-15 Lakh,Silver,37,73001,4451,65200,0.0663,2,2,40416,66,0.468,0.5105,0
SBICC100103,Suresh Nair,M,23,Delhi,Graduate,Married,3,₹6-10 Lakh,Silver,56,61030,18071,50100,0.1995,2,3,44681,55,1.3034,0.7312,0
SBICC100104,Anjali Mehta,F,37,Bangalore,Post-Graduate,Married,2,> ₹25 Lakh,Silver,18,162813,112969,63000,0.6389,2,3,21644,59,0.4976,0.2398,0
SBICC100105,Pooja Patel,F,58,Kolkata,Graduate,Married,2,> ₹25 Lakh,Platinum,32,1101706,261117,885300,0.3293,2,2,31863,53,0.9952,0.7862,1
SBICC100106,Pooja Singh,F,49,Bangalore,Post-Graduate,Married,2,₹6-10 Lakh,Silver,56,136156,41007,123700,0.1073,0,2,102817,84,0.9071,1.8395,0
SBICC100107,Pooja Reddy,F,49,Chennai,Graduate,Single,3,₹10-15 Lakh,Gold,8,308293,101112,189600,0.2808,0,3,50658,68,0.1257,0.5612,0
SBICC100108,Vijay Patel,M,36,Delhi,Graduate,Divorced,2,₹3-6 Lakh,Gold,35,401651,41472,337200,0.2441,1,1,69255,62,0.9345,0.5015,0
SBICC100109,Deepak Joshi,M,44,Mumbai,Graduate,Single,3,₹6-10 Lakh,Platinum,38,514936,45623,410800,0.3251,3,3,42646,73,0.4368,0.2816,1
SBICC100110,Deepak Reddy,M,39,Chennai,High School,Married,1,₹10-15 Lakh,Silver,39,120536,10097,129600,0.0,1,1,4353,65,0.9308,0.5862,0
SBICC100111,Sanjay Kumar,M,43,Delhi,Graduate,Single,2,₹10-15 Lakh,Gold,33,478649,25540,392700,0.0997,0,0,18528,63,0.9094,0.5866,0
SBICC100112,Amit Mehta,M,38,Delhi,Graduate,Married,2,₹10-15 Lakh,Gold,40,453930,131179,305400,0.4584,6,3,37734,59,0.5191,0.5468,0
SBICC100113,Pooja Joshi,F,41,Ahmedabad,Graduate,Married,3,₹6-10 Lakh,Silver,38,74652,2943,83700,0.0121,3,4,63021,54,0.9233,0.9081,0
SBICC100114,Neha Singh,F,32,Hyderabad,Graduate,Married,5,₹6-10 Lakh,Gold,44,358595,197539,211400,0.4006,1,2,23114,61,0.7948,0.5471,0
SBICC100115,Divya Mehta,F,28,Hyderabad,Graduate,Single,1,< ₹3 Lakh,Silver,31,67236,19710,36700,0.4921,0,0,53605,78,0.2865,0.9102,0
SBICC100116,Sanjay Singh,M,41,Bangalore,Graduate,Married,0,₹6-10 Lakh,Gold,39,197437,23280,195300,0.0656,5,1,30529,73,0.7543,1.6712,0
SBICC100117,Rahul Iyer,M,30,Delhi,Graduate,Married,0,₹6-10 Lakh,Platinum,39,412155,96805,307600,0.195,4,5,63024,70,0.191,0.5579,1
SBICC100118,Rekha Reddy,F,31,Bangalore,Graduate,Married,2,₹3-6 Lakh,Signature,18,2843937,754927,1655200,0.2909,4,1,37448,70,0.8054,1.2146,0
SBICC100119,Arun Mehta,M,42,Delhi,High School,Single,2,₹10-15 Lakh,Gold,56,303749,103463,173800,0.2679,1,4,49089,71,0.7067,0.806,0
SBICC100120,Deepak Mehta,M,39,Pune,Graduate,Married,2,₹3-6 Lakh,Gold,35,265872,31567,218200,0.0,1,2,15501,66,0.761,1.3392,0
SBICC100121,Suresh Singh,M,25,Ahmedabad,Post-Graduate,Married,2,₹3-6 Lakh,Silver,47,70201,8726,64800,0.2137,4,2,22052,76,0.4992,0.9324,0
SBICC100122,Rohit Joshi,M,37,Bangalore,Doctorate,Married,2,< ₹3 Lakh,Silver,28,117394,55003,56800,0.6668,2,3,8804,63,0.6275,0.783,0
SBICC100123,Anjali Reddy,F,32,Bangalore,Graduate,Married,3,₹3-6 Lakh,Platinum,18,904913,476709,312500,0.6308,3,2,36323,78,0.1576,0.4905,0
SBICC100124,Divya Singh,F,24,Delhi,High School,Married,1,₹6-10 Lakh,Silver,45,111428,17061,96400,0.12,5,1,33104,80,0.9492,1.3383,0
SBICC100125,Vijay Reddy,M,32,Ahmedabad,Doctorate,Married,2,< ₹3 Lakh,Platinum,42,1161768,420708,625800,0.4544,3,3,87252,54,0.8625,0.2555,1
SBICC100126,Amit Joshi,M,44,Mumbai,Graduate,Single,2,< ₹3 Lakh,Platinum,56,630190,74741,629100,0.0848,3,2,6826,71,1.3742,0.4042,1
SBICC100127,Sunita Kumar,F,27,Bangalore,Graduate,Married,2,₹15-25 Lakh,Gold,44,396845,106871,239800,0.1568,2,2,23431,68,0.8201,0.8459,0
SBICC100128,Swati Mehta,F,29,Bangalore,High School,Married,1,₹10-15 Lakh,Silver,22,109612,12762,107700,0.0,1,3,29309,56,1.1234,1.1091,0
SBICC100129,Rajesh Sharma,M,57,Bangalore,High School,Married,2,₹6-10 Lakh,Gold,56,456818,13197,411800,0.0689,5,1,30296,63,0.4146,0.8688,1
SBICC100130,Amit Kumar,M,40,Delhi,Post-Graduate,Married,2,₹6-10 Lakh,Silver,21,192741,49727,120100,0.2758,1,6,10046,67,1.3726,0.2404,1
SBICC100131,Meera Nair,F,48,Bangalore,Graduate,Single,1,₹10-15 Lakh,Signature,56,1917328,78936,1738800,0.0,3,6,12907,54,0.5241,0.8311,1
SBICC100132,Sunita Iyer,F,47,Hyderabad,Post-Graduate,Married,2,₹10-15 Lakh,Gold,17,409722,121560,292800,0.1719,3,5,6787,45,0.8082,0.8208,1
SBICC100133,Rahul Kumar,M,34,Chennai,Post-Graduate,Single,3,₹3-6 Lakh,Signature,56,884453,67988,792600,0.1573,6,1,26220,55,0.3404,0.8713,0
SBICC100134,Rahul Reddy,M,30,Ahmedabad,High School,Married,2,₹6-10 Lakh,Platinum,36,726357,322449,382800,0.3447,3,3,18318,64,0.9914,0.775,0
SBICC100135,Divya Mehta,F,39,Kolkata,Graduate,Single,0,₹15-25 Lakh,Silver,34,190936,97687,94700,0.5876,1,1,30628,73,0.7483,0.9437,0
SBICC100136,Priya Reddy,F,54,Hyderabad,Uneducated,Single,3,₹6-10 Lakh,Signature,56,2782709,241921,2161300,0.1505,1,5,15152,69,0.6416,0.6214,0
SBICC100137,Deepak Gupta,M,32,Delhi,Post-Graduate,Married,4,₹6-10 Lakh,Signature,26,1742885,220943,1482500,0.0391,5,0,32419,82,1.0267,1.2752,0
SBICC100138,Pooja Joshi,F,42,Bangalore,Graduate,Married,3,₹3-6 Lakh,Platinum,36,851779,110385,667800,0.1229,6,0,72704,72,0.7454,0.8831,0
SBICC100139,Kavya Sharma,F,23,Mumbai,Graduate,Single,1,₹6-10 Lakh,Silver,56,160584,66158,92200,0.4637,5,2,10641,48,0.4141,0.6178,1
SBICC100140,Vijay Mehta,M,39,Ahmedabad,Graduate,Single,2,₹10-15 Lakh,Platinum,29,597620,322075,330900,0.5324,2,2,46008,68,0.9075,0.6302,0
SBICC100141,Deepak Sharma,M,42,Delhi,Graduate,Single,2,₹10-15 Lakh,Gold,24,351398,98616,222900,0.3486,2,1,59786,57,0.6417,1.1781,0
SBICC100142,Arun Nair,M,37,Delhi,High School,Single,4,₹6-10 Lakh,Silver,33,196290,62480,117800,0.49,1,2,56725,76,0.0999,0.7747,0
SBICC100143,Vijay Joshi,M,30,Mumbai,Graduate,Single,0,₹10-15 Lakh,Platinum,10,489399,235724,223800,0.5934,3,5,47802,60,0.2382,1.2367,1
SBICC100144,Divya Iyer,F,22,Delhi,High School,Single,2,₹3-6 Lakh,Gold,37,234370,27792,177000,0.1083,4,3,44716,63,0.889,1.2947,0
SBICC100145,Sanjay Sharma,M,19,Mumbai,Graduate,Single,1,₹6-10 Lakh,Silver,30,73068,24359,59200,0.2903,6,3,9451,62,0.652,1.3401,1
SBICC100146,Sanjay Nair,M,44,Chennai,Graduate,Single,2,< ₹3 Lakh,Silver,56,181062,38138,134300,0.1304,2,2,110125,57,0.286,0.9507,1
SBICC100147,Rajesh Sharma,M,38,Bangalore,Graduate,Married,3,< ₹3 Lakh,Gold,47,426996,22341,435100,0.0059,2,1,82927,70,0.363,0.8191,0
SBICC100148,Arun Nair,M,39,Bangalore,Post-Graduate,Single,2,< ₹3 Lakh,Gold,7,340819,258368,148300,0.6214,2,2,5537,70,0.6914,0.7673,0
SBICC100149,Deepak Joshi,M,21,Mumbai,Graduate,Married,5,₹3-6 Lakh,Gold,20,178670,49093,124200,0.0756,4,2,27893,68,1.061,0.8597,1
SBICC100150,Deepak Singh,M,35,Mumbai,High School,Married,0,> ₹25 Lakh,Platinum,52,866034,489125,450500,0.4961,3,2,31884,47,0.6542,1.2345,0
SBICC100151,Arun Patel,M,21,Pune,Post-Graduate,Married,4,₹3-6 Lakh,Silver,27,128364,30883,83800,0.2812,4,4,38342,67,0.5854,0.1554,1
SBICC100152,Neha Singh,F,26,Pune,Graduate,Married,2,> ₹25 Lakh,Signature,48,1731720,342606,1239000,0.1928,3,2,14553,86,1.2488,1.2225,0
